time_UTC  Vup  Vnorth  Veast  Vdown
690468385.014  -0.030363  -0.00752021  0.0333106  0.030363
690468385.070  -0.0252145  0.0173907  -0.0366512  0.0252145
690468385.126  0.0538097  -0.0312953  0.00673279  -0.0538097
690468385.182  -0.00619076  0.020798  0.0115067  0.00619076
690468385.238  -0.0319824  0.0099143  -0.0204953  0.0319824
690468385.294  0.0233108  0.0204479  0.00169734  -0.0233108
690468385.350  -0.0162915  -0.0472835  0.00562251  0.0162915
690468385.406  -0.0200454  0.00289466  0.0124694  0.0200454
690468385.462  0.040634  0.00480842  -0.0108404  -0.040634
690468385.518  -0.0115855  0.013201  -0.0194243  0.0115855
690468385.574  0.0347644  -0.00796224  0.0351165  -0.0347644
690468385.630  0.0090916  -0.012273  -0.00425125  -0.0090916
690468385.686  -0.0280892  -0.0211164  -0.0135575  0.0280892
690468385.742  -0.0450677  0.0526342  0.000330365  0.0450677
690468385.798  -0.00847188  -0.00210777  0.00688974  0.00847188
690468385.854  0.0827847  -0.00969617  -0.00841134  -0.0827847
690468385.910  -0.0249406  -0.018127  0.00630978  0.0249406
690468385.966  0.0364702  0.000218099  0.009069  -0.0364702
690468386.022  -0.0600174  0.00703478  -0.0204744  0.0600174
690468386.078  0.0335747  -0.0236149  0.0363948  -0.0335747
690468386.134  0.00159475  0.032184  -0.0232225  -0.00159475
690468386.190  0.0387845  -0.0246627  0.00286199  -0.0387845
690468386.246  -0.0217203  0.0243565  0.00355416  0.0217203
690468386.302  -0.0582637  -0.00384625  -0.0301632  0.0582637
690468386.358  0.020712  0.0117013  0.022864  -0.020712
690468386.414  -0.00820461  -0.0035583  0.0154797  0.00820461
690468386.470  0.0201524  -0.0319319  -0.0380546  -0.0201524
690468386.526  0.0463967  -0.00242735  -0.000770676  -0.0463967
690468386.582  -0.0270412  0.0287088  0.0282411  0.0270412
690468386.638  -0.0654725  0.0315253  -0.0141804  0.0654725
690468386.694  0.0185375  -0.0222679  0.00363166  -0.0185375
690468386.750  0.089937  -0.0415454  0.0100844  -0.089937
690468386.806  -0.0271201  -0.00121047  -0.00499352  0.0271201
690468386.862  -0.0694862  0.0495681  -0.0183313  0.0694862
690468386.918  -0.00842947  -0.000528842  0.00464335  0.00842947
690468386.974  0.0601197  -0.0293914  0.031071  -0.0601197
690468387.030  -0.0278156  -0.0310062  -0.0525715  0.0278156
690468387.086  -0.00531862  0.0335316  0.0144239  0.00531862
690468387.142  -0.0170947  0.00651726  0.00905915  0.0170947
690468387.198  0.004093  0.0202599  -0.00703949  -0.004093
690468387.254  0.00996257  -0.0427951  0.00138924  -0.00996257
690468387.310  0.0109917  0.010427  2.13338e-05  -0.0109917
690468387.366  0.0441362  0.0334675  0.0170535  -0.0441362
690468387.422  -0.0421342  -0.0300715  -0.0500611  0.0421342
690468387.478  -0.0197357  -0.0107805  0.0330579  0.0197357
690468387.534  0.0386594  0.0196989  0.00532885  -0.0386594
690468387.590  0.0251114  -0.0211888  -0.0399311  -0.0251114
690468387.646  0.00718059  9.62021e-05  0.0274488  -0.00718059
690468387.702  -0.049116  -0.0176096  0.00245852  0.049116
